"ppt","ProbeType","Condition","SetSize","TestChange","RespChange","Ntrials"
9,"WholeDisplay","Binding",6,1,6,18
9,"WholeDisplay","Colour",4,0,4,18
9,"WholeDisplay","Colour",4,1,9,18
9,"WholeDisplay","Colour",6,0,2,18
9,"WholeDisplay","Colour",6,1,15,18
9,"WholeDisplay","Shape",4,0,2,18
9,"WholeDisplay","Shape",4,1,15,18
9,"WholeDisplay","Shape",6,0,2,18
9,"WholeDisplay","Shape",6,1,11,18
10,"DualProbe","Binding",4,0,0,18
10,"DualProbe","Binding",4,1,15,18
10,"DualProbe","Binding",6,0,3,18
10,"DualProbe","Binding",6,1,15,18
10,"DualProbe","Colour",4,0,1,18
10,"DualProbe","Colour",4,1,17,18
10,"DualProbe","Colour",6,0,3,18
10,"DualProbe","Colour",6,1,18,18
10,"DualProbe","Shape",4,0,0,18
10,"DualProbe","Shape",4,1,18,18
10,"DualProbe","Shape",6,0,2,18
10,"DualProbe","Shape",6,1,16,18
10,"WholeDisplay","Binding",4,0,2,18
10,"WholeDisplay","Binding",4,1,15,18
10,"WholeDisplay","Binding",6,0,2,18
10,"WholeDisplay","Binding",6,1,8,18
10,"WholeDisplay","Colour",4,0,0,18
10,"WholeDisplay","Colour",4,1,18,18
10,"WholeDisplay","Colour",6,0,1,18
10,"WholeDisplay","Colour",6,1,16,18
10,"WholeDisplay","Shape",4,0,0,18
10,"WholeDisplay","Shape",4,1,18,18
10,"WholeDisplay","Shape",6,0,3,18
10,"WholeDisplay","Shape",6,1,15,18
11,"DualProbe","Binding",4,0,2,18
11,"DualProbe","Binding",4,1,12,18
11,"DualProbe","Binding",6,0,9,18
11,"DualProbe","Binding",6,1,13,18
11,"DualProbe","Colour",4,0,4,18
11,"DualProbe","Colour",4,1,17,18
11,"DualProbe","Colour",6,0,6,18
11,"DualProbe","Colour",6,1,13,18
11,"DualProbe","Shape",4,0,3,18
11,"DualProbe","Shape",4,1,17,18
11,"DualProbe","Shape",6,0,7,18
11,"DualProbe","Shape",6,1,13,18
11,"WholeDisplay","Binding",4,0,8,18
11,"WholeDisplay","Binding",4,1,10,18
11,"WholeDisplay","Binding",6,0,8,18
11,"WholeDisplay","Binding",6,1,14,18
11,"WholeDisplay","Colour",4,0,2,18
11,"WholeDisplay","Colour",4,1,18,18
11,"WholeDisplay","Colour",6,0,7,18
11,"WholeDisplay","Colour",6,1,13,18
11,"WholeDisplay","Shape",4,0,2,18
11,"WholeDisplay","Shape",4,1,18,18
11,"WholeDisplay","Shape",6,0,7,18
11,"WholeDisplay","Shape",6,1,13,18
12,"DualProbe","Binding",4,0,6,18
12,"DualProbe","Binding",4,1,14,18
12,"DualProbe","Binding",6,0,7,18
12,"DualProbe","Binding",6,1,17,18
12,"DualProbe","Colour",4,0,4,18
12,"DualProbe","Colour",4,1,16,18
12,"DualProbe","Colour",6,0,8,18
12,"DualProbe","Colour",6,1,16,18
12,"DualProbe","Shape",4,0,5,18
12,"DualProbe","Shape",4,1,16,18
12,"DualProbe","Shape",6,0,6,18
12,"DualProbe","Shape",6,1,16,18
12,"WholeDisplay","Binding",4,0,3,18
12,"WholeDisplay","Binding",4,1,9,18
12,"WholeDisplay","Binding",6,0,6,18
12,"WholeDisplay","Binding",6,1,10,18
12,"WholeDisplay","Colour",4,0,5,18
12,"WholeDisplay","Colour",4,1,16,18
12,"WholeDisplay","Colour",6,0,4,18
12,"WholeDisplay","Colour",6,1,9,18
12,"WholeDisplay","Shape",4,0,1,18
12,"WholeDisplay","Shape",4,1,15,18
12,"WholeDisplay","Shape",6,0,6,18
12,"WholeDisplay","Shape",6,1,8,18
13,"DualProbe","Binding",4,0,5,18
13,"DualProbe","Binding",4,1,14,18
13,"DualProbe","Binding",6,0,5,18
13,"DualProbe","Binding",6,1,12,18
13,"DualProbe","Colour",4,0,4,18
13,"DualProbe","Colour",4,1,17,18
13,"DualProbe","Colour",6,0,3,18
13,"DualProbe","Colour",6,1,16,18
13,"DualProbe","Shape",4,0,3,18
13,"DualProbe","Shape",4,1,17,18
13,"DualProbe","Shape",6,0,3,18
13,"DualProbe","Shape",6,1,15,18
13,"WholeDisplay","Binding",4,0,1,18
13,"WholeDisplay","Binding",4,1,11,18
13,"WholeDisplay","Binding",6,0,0,18
13,"WholeDisplay","Binding",6,1,9,18
13,"WholeDisplay","Colour",4,0,0,18
13,"WholeDisplay","Colour",4,1,15,18
13,"WholeDisplay","Colour",6,0,2,18
13,"WholeDisplay","Colour",6,1,11,18
13,"WholeDisplay","Shape",4,0,0,18
13,"WholeDisplay","Shape",4,1,15,18
13,"WholeDisplay","Shape",6,0,1,18
13,"WholeDisplay","Shape",6,1,12,18
14,"DualProbe","Binding",4,0,1,18
14,"DualProbe","Binding",4,1,6,18
14,"DualProbe","Binding",6,0,8,18
14,"DualProbe","Binding",6,1,13,18
14,"DualProbe","Colour",4,0,3,18
14,"DualProbe","Colour",4,1,18,18
14,"DualProbe","Colour",6,0,8,18
14,"DualProbe","Colour",6,1,15,18
14,"DualProbe","Shape",4,0,4,18
14,"DualProbe","Shape",4,1,16,18
14,"DualProbe","Shape",6,0,2,18
14,"DualProbe","Shape",6,1,15,18
14,"WholeDisplay","Binding",4,0,1,18
14,"WholeDisplay","Binding",4,1,8,18
14,"WholeDisplay","Binding",6,0,6,18
14,"WholeDisplay","Binding",6,1,10,18
14,"WholeDisplay","Colour",4,0,1,18
14,"WholeDisplay","Colour",4,1,18,18
14,"WholeDisplay","Colour",6,0,5,18
14,"WholeDisplay","Colour",6,1,12,18
14,"WholeDisplay","Shape",4,0,3,18
14,"WholeDisplay","Shape",4,1,15,18
14,"WholeDisplay","Shape",6,0,4,18
14,"WholeDisplay","Shape",6,1,9,18
15,"DualProbe","Binding",4,0,0,18
